CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
300,Greece,...,...,...,...,...,...,...,...,...,...,143971,...,33118,...,15748,...,11910,...,16997,...,19303,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,3000,7748,...,...,...,...,151,12,0,505,...,,,,,,,,,,,,,,10,10,,,,,,,,,
320,Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,4,4,...,...,...,...,...,,,,,,,,,,,,,,,,,11,11,11,,,,,
348,Hungary,...,...,...,...,...,...,...,...,...,...,81207,...,836448,...,215076,...,87068,...,155827,...,85563,...,69187,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,2000,...,...,...,129039,...,1387,...,759,...,10106,...,26531,...,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,5250173,...,...,...,...,...,...,...,2728326,...,...,3321147,1997733,...,3364549,3821571,...,2563267,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15096,...,...,...,...,16645,...,...,,,,,,,,,,,,,,,,,12,,,,,13,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,13675,...,13766,...,12582,...,21011,...,15853,...,18541,...,18304,...,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,...,...,...,...,...,...,...,...,...,...,615182,...,518527,...,690629,...,736999,...,1063650,...,1268619,...,1289000,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,2500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,57.20000076,0,...,...,...,382.6380005,6883.600098,10026.2998,26539.40039,...,880002,495,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,170632.2969,104829.9922,365585.5313,2168479.75,2561928,570977,4484692,8948527,980434.9375,484519.5938,581783.6875,676513.875,679065.1875,454871.75,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.599999905,,,,,,,,,,,,,,,,,,,,,,,,14
428,Latvia,...,...,...,...,...,...,...,...,...,...,726,...,705,...,1070,...,5557,...,3378,...,6681,...,1610,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,14288,...,1810,...,2343,...,4523,...,15449,...,18168,...,10441,...,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,0,...,0,...,0,...,7,...,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,...,...,...,33812,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,...,...,...,84321,76334,85797,81358.82031,88268,94158.17969,120174.1016,128999.0703,151311.8281,138331,69056.97656,67089.39063,61497.30078,56455.66016,64973.55078,76513,785435.75,633196.0625,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2766,...,2729,...,...,...,...,...,...,...,,,,,,,,,,,,,,,10,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,...,...,...,71,48,107,22,264,37,360,10.76000023,23.62000084,41.86000061,172.2799988,104.5400009,216.7799988,472.019989,623.1400146,,,,,,,,,,15,15,15,15,15,15,15,15,15,15,15,15,15,,
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58810,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,16,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,...,...,...,...,325177,...,733485,...,831631,...,805256,...,1119413,...,1334483,...,962796,...,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,...,...,...,...,...,...,...,...,...,...,503000,554000,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2337,...,148936,...,669752,...,3614,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,...,...,...,885720,...,1064100,...,1021516,...,627234,...,463658,...,736229,...,706945,...,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,173.172699,217.9332428,...,...,...,290.5,281.4100037,763.5700073,1363.670044,1689.530029,1509.920044,1547.109985,1775.170044,1181.869995,1682.910034,2338.300049,3037.100098,3094.699951,...,...,...,...,...,...,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,
616,Poland,...,...,...,...,...,...,...,...,...,...,609474,...,757951,...,589280,...,306910,...,130992,...,244786,...,302212,...,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,...,...,...,...,...,1309730,...,1583713,...,53208,...,87075,...,194056,...,209651,...,248366,...,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,54898,1043,744,1066,941,784,642,481,498,1904,1034,669,273,408,188,746,148,20,112,30,38,25,107,680,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,...,...,...,...,...,...,...,...,...,...,1489300,...,641467,...,21075,...,40964,...,82433,...,124535,...,110725,...,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,...,...,...,...,82665840,32107948,47354600,34128464,44201572,45113420,54002428,39142560,31976644,28423888,29487460,24479338,21901868,25811032,27061028,,,,,,,,,,,,,,,,,,,,,,,,
638,Réunion,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1524,215,0,339,...,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,...,...,...,...,...,...,...,...,...,...,211,146,115,82,64,175,146,70,63,51,58,40,75,66,,,,,,,,,,,,,,,,,,,,,,,,
670,Saint Vincent and the Grenadines,...,...,...,...,...,...,...,...,0.150000006,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
688,Serbia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8255117,9963501,11082001,12711008,14386836,16528642,13434946,16494383,...,...,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,...,...,...,...,...,...,...,...,...,...,117450,...,111420,...,110279,...,97370,...,85241,...,52534,...,68340,...,,,,,,,,,,,,,,,,,,,,,,,,
