CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
268,Georgia,55,...,...,...,...,...,...,...,...,...,56,56,...,60,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
288,Ghana,30,30,30,30,50,50,50,50,50,50,50,50,60,60,60,60,75,75,75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,100,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,...,19.70000076,...,...,...,...,...,...,31.60000038,...,...,...,22.17000008,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
340,Honduras,31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,64.59999847,...,...,41.77999878,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,55.59999847,...,...,...,...,65.69999695,62.79999924,61.20000076,62.40000153,62.59999847,67,63.90000153,61.90000153,,,,,,,,,,,,5,,,,,,6,,,,7,8,9
388,Jamaica,...,64,...,...,...,...,...,76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,66.40000153,68.69999695,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
426,Lesotho,...,...,...,...,...,...,...,...,...,...,...,...,20,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,4.400000095,...,17.70999908,17.70999908,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
462,Maldives,...,...,...,...,...,...,...,31.20000076,37,37.20000076,38,38.20000076,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,60,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,100,...,100,...,...,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,10,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,98,98,98,98,98,98,98,98,98,100,100,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
499,Montenegro,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75.87999725,75.91999817,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
524,Nepal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,71,72,74,76,73,73,75,81,...,...,,,,,,,,,,,,,,,11,11,,,,,,,,
591,Panama,...,...,...,...,...,...,56.70000076,...,...,...,...,...,...,62.40000153,64.59999847,64.19999695,62.90000153,66.90000153,...,...,66.69999695,65.80000305,...,...,,,,,,,,,,,,,,,,,,,,,,,,
600,Paraguay,19.10757256,...,...,...,29.20000076,29.89999962,...,35,31.89999962,31.44570732,32.79999924,34.46281815,33.69641495,35.78160858,36.30086517,37.64381027,39.5,40.59999847,40.90000153,46.40000153,47.20000076,52.08000183,45.59999847,44.40000153,12,,,,,,,,,,,,,,,,,,,,,,,
604,Peru,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,65.90000153,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27.79999924,28.29999924,29.79999924,30.89999962,,,,,,,,,,,,,,,,,,,,,,,,
638,Réunion,...,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
670,Saint Vincent and the Grenadines,...,...,...,...,...,...,...,...,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
882,Samoa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97,97,97,98.80000305,98.90000153,,,,,,,,,,,,,,,,,,,,,,,,
686,Senegal,...,...,...,...,...,...,21.39999962,21.39999962,21.39999962,21.39999962,21.39999962,21.39999962,21.39999962,21.39999962,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
688,Serbia,...,...,...,...,...,...,...,...,...,...,...,...,60,60,60,60,72,77,70,80,80,82,...,...,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.589999974,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,...,45.29999924,...,...,...,...,80.19999695,91.19999695,90.30000305,90.30000305,...,87.69999695,88.40000153,...,92,91.5,92,...,94.5,...,...,,,,,,,,,,,,,,,13,,,,,,,,,
740,Suriname,...,...,...,...,...,...,64,...,...,...,59.84999847,...,...,...,...,...,...,...,79.48999786,...,...,...,...,...,,,,,,,14,,,,"15,16,17",,,,,,,,"16,17",,,,,
760,Syrian Arab Republic,...,...,...,...,...,...,72,...,...,...,74,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76,76,78,79,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,...,90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,18,,,,,,,,,,,,,,,,,,,,,,
788,Tunisia,...,...,...,...,...,...,...,65,65,65,65,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,19,19,19,19,,,,,,,,,,,,,
804,Ukraine,...,...,...,...,...,...,...,...,...,...,...,...,...,69,72,72,74,75,76,78,78,75,78,77,,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivarian Republic of),...,75.47809601,74.30587769,82.88571167,87.90930176,89.11578369,85.64278412,79.43573761,76.22245026,77.23898315,77.03343201,71.58390808,87.82672882,77.42634583,76.87588501,76.96969604,75.91994476,78.86467743,78.62844086,78.40718079,78.4761734,77.12265778,75.80000305,...,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
887,Yemen,...,17,...,...,...,...,...,...,...,19,19.10000038,19.10000038,19.10000038,19.20000076,19.20000076,19.20000076,20,20,20,19.20000076,...,...,...,...,,21,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,,,,
894,Zambia,...,14,...,...,...,18,18,...,...,...,...,20,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76.59999847,79.30000305,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
