CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
380,Italy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1866212,...,1636793,...,1821805,...,1861771,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,40244.60156,0,...,...,...,17152.26172,98345.20313,51401.80078,323917.3125,...,79381,4910,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,17680272,10862084,37880576,237619312,280732896,59162456,19586874,45027776,94720088,81826296,110138368,74131552,33279666,190401152,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,20000,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,...,339,191,1477107,32,275,4011426,35,39,5327,307,1555,1258,7909705,3006,19342756,187180.7969,82317.14063,53942.76953,3131828.75,4983976,4950896.5,11410.20508,18566.4082,,,,,,,,,,,,,,,,,,,,,,,7,7
428,Latvia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44941,...,35679,...,24563,...,15646,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42850,...,45540,...,35181,...,46097,...,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2941,...,1640,...,2644,...,3354,...,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,0,...,...,0,...,...,0,...,0,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,...,...,...,120570.9609,123670,204666,250260.4531,272419.5938,149569.9844,297001.4063,355471.1875,624361.125,686011.9375,877489.375,939730.8125,678477.75,633929.5,649496.6875,452956.75,1649376,1149341.75,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
470,Malta,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73,...,0,...,0,...,0,...,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,...,...,990,...,3415,...,...,...,...,...,...,...,,,,,,,,,,,,,,,5,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,1693,974.6799927,1275.449951,1005.320007,1027.97998,944.1099854,1146.567505,1495.850342,2697.836182,3230.419922,3784,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,,
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,...,...,...,...,...,...,...,...,...,55144,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2290586,...,2585906,...,2521121,...,3581477,...,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,...,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3488.330078,...,3899,...,4900,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,574162,...,208234,...,415809,...,359224,...,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1117841,...,1158065,...,1492430,...,926403,...,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,202065,...,190131,...,216024,...,196077,...,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,11399,169,370,299,823,477,1083,652,1108,601,576,271,780,1478,800,594,593,874,571,834,854,935,2277,6168,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,240506,...,202734,...,190958,...,72518,...,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,...,...,...,220528384,111437552,75552800,71982888,95996536,105552304,89089072,102961088,83481344,96765408,91754336,102098720,103813960,93781328,86458352,68685480,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
638,Réunion,...,...,...,0,...,...,78,...,...,...,...,...,...,...,...,...,...,...,...,1905,1761,10250,12274,...,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,...,...,...,...,...,...,...,...,...,...,173,48,0,0,0,0,0,0,0,1720,2649,2291,1630,1578,,,,,,,,,,,,,,,,,,,,,,,,
