CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
320,Guatemala,...,...,...,...,...,...,...,...,...,376,833,732,709,846,917,...,1347,...,...,...,...,...,...,...,,,,,,,,,,12,12,12,12,12,12,,12,,,,,,,
348,Hungary,...,...,...,...,...,...,...,...,...,...,49226,...,66784,...,59036,...,69452,...,76830,...,81181,...,74222,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,4500,...,...,...,0,...,0,...,0,...,732,...,1352,...,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,118941,...,...,...,...,...,...,...,415794,...,...,601842,92954,...,803549,829923,...,279482,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,408,...,...,...,...,1049,...,...,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,37303,...,35121,...,20897,...,19676,...,13386,...,13121,...,7488,...,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,...,...,...,...,...,...,...,...,...,...,539697,...,506582,...,448750,...,382719,...,393680,...,407142,...,374739,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,7500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,496.2999878,383.7000122,...,...,...,31.68899918,286.2000122,1,10.10000038,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,91314,56099.83594,195643.3281,1227241.875,1449912.25,305558.6875,648117.5,577116.8125,908047.25,511195.25,416856.0313,421800.0313,378135.6563,384536.875,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8156.200195,,,,,,,,,,,,,,,,,,,,,,,,13
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,12480,12480,...,1994,1245,2592,2351,2945,...,...,...,4955,,,,,,,,,,,,,,,,14,14,14,14,,,,,14
417,Kyrgyzstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4046918.25,5067700.5,,,,,,,,,,,,,,,,,,,,,,,15,15
428,Latvia,...,...,...,...,...,...,...,...,...,...,322,...,940,...,311,...,212,...,15,...,11,...,9,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,1866,...,3070,...,693,...,1480,...,1019,...,1932,...,617,...,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,0,...,0,...,...,...,0,...,11,...,0,...,4,...,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,...,...,...,12145,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,...,...,...,134778.0469,164482,33237,73292.35156,65901.84375,137995.2656,506995.2813,592186,498887.7813,537310.625,60803.32422,63621.73828,63235.32813,77824.4375,74575.0625,48241,60206.49609,64177.55078,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
470,Malta,...,...,...,...,...,...,...,...,...,...,0,...,0,...,327,...,364,...,501,...,439,...,477,...,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2381,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,1943,1800,1800,1800,1800,1800,1820,1820,1820,611.9799805,460.8599854,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,,
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.7399902,268.5,284.5400085,344.7399902,166.1999969,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,...,...,...,...,335925,...,299953,...,364120,...,493902,...,544584,...,331812,...,330102,...,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,...,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,...,120,...,149,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,...,...,...,1405,...,9729,...,45227,...,25551,...,84606,...,48298,...,56637,...,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,...,...,...,...,...,...,...,...,...,...,66303,...,103648,...,138859,...,145489,...,142805,...,135443,...,155729,...,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,...,...,...,...,...,6611,...,28159,...,4849,...,12418,...,14527,...,16379,...,17464,...,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,...,...,...,...,...,...,...,...,...,...,400,...,1070,...,31505,...,15662,...,136245,...,32456,...,26472,...,,,,,,,,,,,,,,,,,,,,,,,,
638,Réunion,...,...,...,1536,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,1556,0,1553,...,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
670,Saint Vincent and the Grenadines,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
688,Serbia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2479,435,289,370,144,308,2286,11410,...,...,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,...,...,...,...,...,...,...,...,...,...,47870,...,47929,...,47459,...,43196,...,20133,...,17290,...,14451,...,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,...,...,...,...,...,...,...,...,...,...,11586,...,13073,...,11112,...,12615,...,8658,...,9965,...,9887,...,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,7025.249023,8915.799805,10852.09961,12998.40039,10722.09961,...,46490,60920.5,823120,783453.125,2420084.25,4266860,...,,,,,,,,,,,,18,19,20,21,20,,,22,23,24,25,,
724,Spain,...,...,...,...,...,...,...,...,...,...,124295,...,93668,...,10425,...,18465,...,6,...,354,...,636,...,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,...,0,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,...,...,...,...,...,...,...,...,...,...,71120,...,103455,...,86805,...,85830,...,42347,...,102739,...,210477,...,,,,,,,,,,,,,,,,,,,,,,,,
