CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38611.17969,35339.13281,19007.83203,23680.5332,28682.16602,25495.78516,27905.25977,28016.01367,31619.31641,34525.23047,36811.22656,34018.72266,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,...,...,...,...,...,11.15999985,...,...,...,25.70000076,28.55999947,29.86000061,24.93600082,23.62999916,33.03300095,36.6969986,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,5838,5165,4809,4880,4910,4998,4773,4715,4690,4619,4502,4387,4172,4486,4449,4094,3732,3364,3135,3192,3011,2881,3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,...,...,...,...,...,...,...,...,...,...,...,...,...,...,548.5,585,624,665.7000122,710.4000244,758.0999756,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,...,...,...,...,...,...,...,...,...,...,...,13.10000038,22.89999962,18.20000076,18.20000076,13.19999981,13.80000019,10.80000019,15.60000038,13.80000019,7.199999809,66.85399628,21.75499916,...,23.54000092,59.34999847,44.72999954,39.09000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,66.38600159,71.75299835,77.4980011,83.64900208,90.23300171,97.27500153,104.8130035,113.3970032,...,147.9286041,144.9533997,...,145.8939972,...,...,,,,,,,,,,,,,,,14,14,14,14,14,14,14,,,,,15,,
116,Cambodia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,355,383,408,461,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3688.73291,3707.740967,6489.079102,7249.176758,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,...,...,...,...,...,...,...,...,...,...,4520.299805,4514.700195,4647.100098,4802.299805,4964.100098,5113.700195,5310.899902,5492.899902,5608,5779.5,5935.700195,6142.399902,...,...,7416.037109,...,...,...,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,,,17,,,
156,China,...,...,...,...,...,...,...,...,...,...,118190,134700,136500,148570,155090,155770,148410,152150,154380,157340,158048,163953,170809,172386,178602,191419,203620,215209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
