CountryID,Country,1990,1995,1996,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
233,Estonia,...,...,...,...,...,...,...,5378.012049,...,4905.377393,...,5626.804119,...,6727.493841,...,6912.902077,...,7908.937584,...,7354.43412,...,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,4.747688923,3.542629876,3.885016592,4.321787134,4.081853528,4.551786142,3.300621697,7.715523709,12.42432209,13.72368959,14.85148028,16.3340857,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,410.7262525,...,513.6735278,...,406.636814,...,476.9886291,...,305.5511012,...,365.9664812,...,434.4514829,...,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,143.9442151,...,144.314512,...,174.7629632,...,183.0672822,...,177.6109323,...,167.9758895,...,170.2596565,...,,,,,,,,13,,13,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,15.33181756,10.91403926,2.391527161,2.75276811,2.609092967,2.796546079,3.487390034,2.714325293,6.629248764,4.555415926,32.02476253,...,,,,,,,,,,14,14,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,244.7514586,...,266.1923265,...,275.1496642,...,246.3873567,...,271.1844084,...,267.8030872,...,280.30293,...,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,29.81905999,...,24.24901466,...,22.15085983,...,25.49125219,...,26.13493438,...,20.65521901,...,...,...,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,22.89618932,12.8969904,3.518537147,1.878339672,16.61349225,4.392542203,20.05969858,29.43950986,29.08012609,54.9767651,25.07504503,...,,,,,,,,,,14,14,,,,,,,,,,
320,Guatemala,...,...,...,...,46.64541039,51.34759643,51.8644967,48.60777101,45.73600484,61.39102104,0.061823527,0.077057821,0.002542573,20.59749903,0.002067039,0.00092397,1.10591362,1.278862431,0.702333952,0.294494761,0.920109269,,,,,,,,,,,,15,15,15,15,,15,15,15,15,15
348,Hungary,...,...,...,...,...,...,...,134.8968931,...,129.2899082,...,67.1203592,...,54.45283163,...,70.94918135,...,60.84187125,...,46.87177342,...,,,,,,,,6,,6,,6,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,29.20262174,...,...,...,291.0538979,...,25.92342849,...,49.95914305,...,110.31918,...,144.0569039,...,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,6.878822417,...,...,...,...,...,7.005297781,...,5.206133937,...,...,6.336914748,6.254622403,...,5.729389935,5.956190069,...,5.358098641,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,0.086608637,...,0.505352261,...,3.643608612,...,0.20776505,0.579721259,0.812250387,0.431153074,,,,,,,,,,,,16,,,,,,,,17,18
372,Ireland,...,...,...,...,...,...,...,175.4393401,...,164.7060327,...,165.5870949,...,426.2448,...,102.3287789,...,104.370531,...,113.7161159,...,,,,,,,,,,6,,,,,,,,,,,
380,Italy,...,...,...,...,...,...,...,104.8718701,...,126.3487928,...,115.5946121,...,143.0343623,...,150.4512886,...,146.9494993,...,160.0143929,...,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,...,3.763835861,3.735509492,3.709961172,3.686620994,3.66464537,3.643421275,3.622822186,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,13.64087196,6.039423184,12.49613402,...,...,199.3589924,15.89232589,8.626947515,162.4356282,...,5.564038562,...,...,...,...,,,,,,,,,,,,"19,20",19,19,"19,20",,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,45581.7926,108375.8404,16823.23895,16487.73101,28333.72947,14060.35073,18483.89753,25269.33896,21035.91546,22448.70522,19500.79144,14316.26775,8490.378333,7017.374756,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.76356682,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.221616222,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,...,103.4349543,...,1281.132753,1255.31144,1304.990876,1281.117594,1272.53163,1222.805189,1136.600328,1068.711992,1060.595626,1064.198289,1070.901993,1843.776769,881.3229026,1388.383585,1749.162164,1761.825979,2037.671992,2043.425663,,,,,,,,,,,,,,,,,,,,22,22
428,Latvia,...,...,...,...,...,...,...,7.440139895,...,29.36020345,...,31.06155448,...,32.04854714,...,46.02942159,...,51.52432689,...,33.54666167,...,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,32.20908973,28.52587276,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,...,...,...,...,...,...,...,...,...,300.7724569,1315.141104,216.9890771,228.1572162,782.7383742,481.6311782,385.0293463,387.9466438,309.1603919,208.065692,229.9872506,...,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,
440,Lithuania,...,...,...,...,...,...,...,26.52081353,...,28.8097695,...,35.99764452,...,33.71627468,...,45.03619397,...,55.68807383,...,60.891729,...,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,274.1186183,...,502.40144,...,410.4575298,...,748.3367429,...,591.8288764,...,427.7274432,...,737.8993416,...,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,0.113628792,...,...,...,...,2.364831,...,...,...,...,...,...,...,...,...,...,,,,,,24,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,14.86052657,17.73069038,19.04498452,18.66706936,18.65345388,21.39240575,42.20759326,42.7719587,48.13158781,61.77447577,109.8273022,114.5994266,97.85643221,100.6352234,78.83969976,96.41180406,90.1627791,64.85463141,,,,,,,,,,,,,,,,,,,,,
470,Malta,...,...,...,...,...,...,...,108.8993524,...,124.8571212,...,134.1015413,...,59.7342049,...,90.27564884,...,85.20421209,...,307.2719726,...,,,,,,,,6,,6,,6,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,25.60839108,11.87191412,8.670207274,8.773258221,10.40490238,3.90631954,12.03331595,9.11901524,45.04620325,21.26647696,41.79262133,...,,,,,,,,,,14,14,,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,0.744420568,...,...,...,5.767028578,5.914662634,6.068210903,6.230993906,13.63044484,14.14904286,14.69025646,15.25508788,15.8385717,16.44067931,17.06291118,,,,,,,,,,,,,,,,,,,,,
492,Monaco,...,10.68880088,...,9.505797529,10.78414728,17.40825576,24.11502118,19.2765802,13.58890869,13.26688559,16.62253915,19.01096074,10.97298389,...,...,...,7.952519105,8.051982851,8.215412445,10.06750693,5.252917227,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,4.124837693,...,...,...,...,...,...,...,8.10349612,...,...,...,...,8.580096681,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
104,Myanmar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.005550488,0.004647802,0.00560435,0.006814637,0.009991479,0.014686455,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,...,131.1713101,...,312.3864751,...,268.8190299,...,268.9265313,...,289.1995495,...,286.0624196,...,302.3419784,...,,,,,,,,,,,,,,,,,,,,,
562,Niger,...,...,...,...,...,...,...,38.31793557,40.68010975,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,3.115540554,...,72.212867,...,327.1727202,...,19.63489879,...,27.39642417,...,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,145.7050498,...,260.601061,...,303.405975,...,360.8426162,...,270.774562,...,309.6454114,...,308.7172797,...,,,,,,,,,,,,,,,,,,,,,
591,Panama,0.070081776,0.079545518,...,0.092863954,0.247135308,0.433012161,0.526468814,0.461814072,0.464532726,0.523354883,0.34219341,0.478606874,0.653268662,0.833630259,0.83464992,...,...,...,...,...,...,,,,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,
608,Philippines,...,...,...,...,...,...,...,...,...,...,...,...,20.60976592,14.36631282,52.26120767,8.057703741,90.79411714,24.86230009,42.45931143,14.33294829,19.95328503,,,,,,,,,,,,,,,,,,,,,
616,Poland,...,...,...,...,...,...,...,41.98901742,...,62.09211457,...,38.31156273,...,38.92778303,...,45.33250739,...,44.13201972,...,50.46521623,...,,,,,,,,,,,,,,,,,,,,,
