Country_Mapping,Country_Final,Country_ID_Final,2017_Population_World_Bank,2017_Land_Area_km_2,2017_GDP_US_Dollars_World_Bank,World_Bank_Notes,Other_Notes
Guadeloupe,Guadeloupe,89,400201,1628,10300000000,"Wikipedia, 2021. GDP 2014 from Wikipedia. Part of France",
Guam,Guam,90,164281,540,6013000000,,
Guatemala,Guatemala,91,16087418,107160,71654134378.5299,,
Guernsey,Guernsey,92,62792,65,3272000000,Wikipedia 2019. GDP 2018 from Wikipedia. British Crown Dependency,
Guinea,Guinea,93,12067516,245720,10324668266.5921,,
Guinea-Bissau,Guinea-Bissau,94,1828146,28120,1350177127.5523,,
Guyana,Guyana,95,775218,196850,4748174334.14044,,
Haiti,Haiti,96,10982367,27560,15035560372.6443,,
Holy See,Holy See,999,,,,Demographic data generally available for Vatican City.,"Not much data, excluded."
Honduras,Honduras,98,9429016,111890,22975415842.4648,,
Hungary,Hungary,99,9787966,91260,143136245596.988,,
Iceland,Iceland,100,343400,100250,24728285177.4603,,
India,India,101,1338676779,2973190,2651472946374.91,,
Indonesia,Indonesia,102,264650969,1877519,1015618742565.81,,
Iran (Islamic Republic of),Iran,103,80673888,1628760,445345256459.105,,
Iraq,Iraq,104,37552789,434128,187217660050.676,,
Ireland,Ireland,105,4807388,68890,334602299873.029,,
Isle of Man,Isle of Man,106,83610,570,6979581724.58172,,
Israel,Israel,107,8713300,21640,355277223507.485,,
Italy,Italy,108,60536709,294140,1956950469673.29,,
Jamaica,Jamaica,109,2920848,10830,14808989993.3185,,
Japan,Japan,110,126785797,364500,4930837369151.42,,
Jersey,Jersey,111,107800,119.6,6630000000,Wikipedia 2019. GDP 2019 from Wikipedia. British Crown Dependency,
Jordan,Jordan,112,9785840,88780,41408960845.0704,,
Kazakhstan,Kazakhstan,113,18037776,2699700,166805800595.704,,
Kenya,Kenya,114,50221146,569140,82035800868.187,,
Kiribati,Kiribati,115,114153,810,187276124.790591,,
Kosovo,Kosovo,116,1791003,10887,7180813375.50836,,
