Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
100,Bulgaria,637.47,597.88,586.45,543.91,468.14,469.77,466.13,453.01,429.16,408.73,402.75,373.07,378.39,395.94,371.25,352.36,340.08,336.28,327.22,315.08,313.77,322.25,307.45,302.59,298.39,298.02,288.53,280.05,270.15,2018,270.15,-57.62,0.038
854,Burkina Faso,...,...,...,...,"4,700.44",...,...,...,...,...,...,...,...,...,...,...,...,"10,080.00",...,...,...,...,...,...,...,...,...,...,...,2007,10080.00,...,0.707
108,Burundi,...,...,...,...,...,...,...,...,943.02,...,...,...,...,...,...,"1,044.30",...,...,...,...,"1,412.40",...,...,...,...,"1,162.67",...,...,...,2015,1162.67,...,0.114
132,Cabo Verde,...,...,...,...,...,68.96,...,...,...,...,68.86,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,68.86,...,0.161
116,Cambodia,...,...,...,...,"7,773.36",...,...,...,...,...,"19,192.11",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,19192.11,...,1.579
120,Cameroon,...,...,...,...,"17,709.34",...,...,...,...,...,"9,828.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9828.00,...,0.633
124,Canada,"3,619.40","3,688.93","3,861.38","3,995.66","4,148.95","4,305.69","4,449.18","4,389.49","4,418.90","4,461.96","4,480.97","4,406.15","4,332.99","4,271.45","4,283.64","4,229.49","4,189.23","4,123.71","4,007.63","3,756.88","3,662.37","3,655.47","3,762.42","3,820.09","3,891.10","3,821.70","3,700.29","3,675.72","3,656.96",2018,3656.96,1.04,0.099
140,Central African Republic,...,...,...,...,"11,881.80",...,...,...,...,...,...,...,...,"29,460.61","29,460.65","29,460.67","9,451.26","9,451.28","9,451.58","4,870.07","4,869.75",...,...,...,...,...,...,...,...,2010,4869.75,...,1.110
148,Chad,...,...,...,"6,937.60",...,...,...,...,"6,033.09","6,149.43","6,250.86","6,370.98","6,498.24","6,686.40",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,6686.40,...,0.713
152,Chile,"10,831.80",...,...,"8,084.16","11,258.10",...,...,...,...,...,"12,282.90",...,...,...,...,...,"10,929.53",...,...,...,"11,245.50",...,...,"11,949.00",...,...,"11,705.40",...,...,2016,11705.40,8.07,0.643
156,China,...,...,...,...,"7,20,027.00",...,...,...,...,...,...,...,...,...,...,"10,09,000.00",...,...,...,...,"11,26,692.00",...,"11,73,900.00",...,"11,24,970.00",...,...,...,...,2014,1124970.00,...,0.804
170,Colombia,"44,386.44",...,...,...,"48,220.62",...,...,...,...,...,"49,088.34",...,...,...,"53,873.61",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,53873.61,21.37,1.280
174,Comoros,...,...,...,...,55.44,...,...,...,...,...,55.77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,55.77,...,0.103
178,Congo,...,...,...,...,583.19,...,...,...,...,...,501.48,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,501.48,...,0.160
184,Cook Islands,...,...,...,...,10.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,10.59,...,0.555
