Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.96,7.45,6.72,7.23,...,...,...,2015, 7.23 ,..., 0.68 
724,Spain,"2,116.56","2,132.59","2,109.31","2,009.38","1,961.42","1,818.95","1,594.48","1,655.28","1,528.36","1,543.89","1,421.84","1,359.01","1,501.81","1,251.07","1,277.56","1,229.32","1,096.88","1,069.96",405.67,306.87,261.02,296.24,299.27,233.46,252.48,269.81,228.25,235.46,212.25,2018, 212.25 ,-89.97, 4.55 
144,Sri Lanka,...,...,...,42.00,45.20,43.00,...,...,...,...,105.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 105.87 ,..., 5.64 
729,Sudan,...,...,...,...,...,1.00,...,...,...,...,1.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 1.00 ,..., 0.04 
752,Sweden,103.30,101.70,94.96,84.38,83.06,71.81,70.09,61.10,57.84,47.81,45.34,43.02,43.07,42.72,38.21,37.04,36.76,32.09,29.75,27.31,28.98,26.32,25.74,23.56,20.83,17.78,18.52,17.73,17.38,2018, 17.38 ,-83.18, 1.74 
756,Switzerland,36.63,36.33,33.90,28.98,26.23,26.04,24.59,21.31,22.05,19.16,16.33,17.14,14.92,15.14,14.88,13.90,13.17,11.47,11.59,10.26,10.38,8.35,8.63,7.99,7.29,5.66,5.22,5.03,4.99,2018, 4.99 ,-86.37, 0.59 
762,Tajikistan,34.00,31.00,28.10,25.00,15.00,12.00,8.00,8.00,7.00,8.00,8.00,9.00,9.00,9.00,10.00,10.00,10.00,8.00,10.00,8.00,9.00,...,...,...,...,...,...,...,...,2010, 9.00 ,-73.53, 1.20 
764,Thailand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,573.03,...,...,...,...,...,2013, 573.03 ,..., 8.41 
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.40,...,...,...,...,...,...,...,...,2010, 0.40 ,..., 0.37 
768,Togo,...,...,...,...,...,0.13,...,...,...,...,8.35,...,...,...,...,8.26,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 8.26 ,..., 1.47 
776,Tonga,...,...,...,...,...,...,...,...,...,...,0.11,...,...,...,...,...,0.16,...,...,...,...,...,...,...,...,...,...,...,...,2006, 0.16 ,..., 1.59 
780,Trinidad and Tobago,8.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990, 8.75 ,0.00, 7.17 
788,Tunisia,...,...,...,...,77.86,...,...,...,...,...,111.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 111.29 ,..., 11.46 
792,Turkey,"1,687.31","1,778.13","1,814.51","1,699.13","1,757.29","1,843.87","1,976.16","2,148.36","2,183.58","2,096.16","2,237.50","1,978.48","1,867.65","1,786.86","1,777.11","2,000.74","2,157.60","2,520.41","2,555.63","2,659.55","2,554.54","2,634.40","2,699.91","1,936.69","2,146.03","1,947.19","2,250.98","2,360.54","2,524.42",2018," 2,524.42 ",49.61, 30.66 
795,Turkmenistan,...,...,...,...,1.45,...,...,...,...,...,1.76,...,...,...,2.43,...,...,...,...,...,2.72,...,...,...,...,...,...,...,...,2010, 2.72 ,..., 0.54 
798,Tuvalu,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.00,...,...,...,...,2014, 0.00 ,..., 0.08 
800,Uganda,...,...,...,...,...,...,...,...,...,...,4.10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 4.10 ,..., 0.17 
804,Ukraine,"1,652.18","1,362.99","1,268.23","1,228.68","1,041.79",846.69,927.14,862.20,847.57,812.40,734.40,788.41,827.07,803.65,789.43,820.03,949.99,976.10,909.13,830.38,867.13,949.07,994.63,"1,016.02",879.96,750.57,800.81,724.28,787.83,2018, 787.83 ,-52.32, 17.81 
826,United Kingdom of Great Britain and Northern Ireland,"3,780.88","3,609.35","3,553.50","3,215.33","2,760.15","2,467.91","2,111.67","1,740.71","1,714.53","1,330.27","1,298.89","1,208.22","1,087.30","1,059.49",901.47,779.60,736.83,640.66,536.03,437.18,454.07,419.51,464.21,400.18,325.37,254.63,182.09,177.96,162.86,2018, 162.86 ,-95.69, 2.43 
834,United Republic of Tanzania,162.13,...,...,...,175.74,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 175.74 ,8.40, 6.10 
840,United States of America,"20,935.45","20,298.46","20,032.79","19,752.47","19,365.09","16,891.16","16,680.03","17,089.76","17,186.37","15,917.26","14,828.95","14,452.30","13,636.82","13,433.48","13,218.91","13,195.59","11,904.47","10,613.36","9,365.31","8,245.48","7,014.41","5,877.38","4,607.59","4,420.73","4,240.14","3,342.30","2,685.06","2,548.00","2,480.97",2018," 2,480.97 ",-88.15, 7.58 
858,Uruguay,43.80,...,...,...,34.90,...,...,...,55.99,...,49.40,...,38.34,...,52.50,...,41.67,...,51.04,...,46.40,...,59.50,...,41.80,...,26.00,24.50,...,2017, 24.50 ,-44.06, 7.13 
860,Uzbekistan,654.19,585.59,463.50,377.14,344.34,341.32,339.73,330.28,294.28,278.43,292.42,249.59,249.94,227.62,216.80,176.05,190.23,160.68,175.67,174.17,163.09,180.19,201.26,...,...,...,...,...,...,2012, 201.26 ,-69.23, 6.83 
548,Vanuatu,...,...,...,...,...,...,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.00 ,..., 0.01 
704,Viet Nam,...,...,...,...,"1,911.10",...,...,...,...,...,9.86,...,...,...,...,...,...,...,...,...,...,...,...,…,...,...,...,...,...,2000, 9.86 ,..., 0.12 
887,Yemen,...,...,...,...,...,7.69,...,...,...,...,12.00,...,...,...,...,...,...,...,...,...,515.00,...,4.12,...,...,...,...,...,...,2012, 4.12 ,..., 0.17 
894,Zambia,...,...,...,...,6.42,...,...,...,...,...,6.16,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 6.16 ,..., 0.59 
716,Zimbabwe,...,...,...,...,...,...,...,...,...,...,1.04,...,...,...,...,...,1.63,...,...,...,...,...,...,...,...,...,...,...,...,2006, 1.63 ,..., 0.13 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
