Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
196,Cyprus,31.75,33.05,37.91,40.12,42.65,39.70,41.68,44.00,47.31,49.67,48.39,45.53,45.97,47.43,40.36,37.92,31.53,29.50,22.41,17.76,21.95,20.95,16.28,13.86,16.98,13.07,16.26,16.54,17.71,2018, 17.71 ,-44.22, 14.89 
203,Czechia,"1,754.55","1,650.35","1,381.94","1,302.88","1,159.41","1,058.96",914.43,694.44,425.34,231.92,233.00,228.71,223.40,218.38,215.09,208.43,206.72,212.02,170.06,168.72,163.83,167.56,160.16,145.21,134.45,129.33,115.10,109.92,96.51,2018, 96.51 ,-94.50, 9.05 
408,Democratic People's Republic of Korea,"3,121.00",...,...,...,"2,368.00",...,...,...,...,...,"1,298.00",...,"1,384.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002," 1,384.00 ",-55.66, 59.30 
180,Democratic Republic of the Congo,...,...,...,...,0.01,...,...,...,...,...,0.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.02 ,..., 0.00 
208,Denmark,179.06,239.69,185.11,150.06,152.40,146.58,177.10,105.20,81.51,60.52,33.58,30.86,29.36,36.34,29.80,27.34,31.40,28.34,22.10,16.23,16.26,15.04,13.34,13.46,11.44,10.59,11.05,11.30,11.82,2018, 11.82 ,-93.40, 2.06 
212,Dominica,...,...,...,...,0.15,...,...,...,...,...,0.18,0.21,0.19,0.20,0.19,0.22,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 0.22 ,..., 3.09 
214,Dominican Republic,77.06,...,...,...,116.34,...,...,...,75.25,...,110.15,...,...,...,...,...,...,...,...,...,1.11,...,...,...,...,...,...,...,...,2010, 1.11 ,-98.56, 0.11 
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,146.45,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 146.45 ,..., 1.94 
233,Estonia,222.03,202.90,147.15,116.32,116.14,103.23,106.56,101.79,91.58,86.84,80.14,75.52,74.08,86.74,76.38,64.37,57.03,78.98,60.23,44.81,73.39,63.89,30.23,26.36,31.36,24.33,27.52,31.83,35.96,2018, 35.96 ,-83.80, 27.18 
748,Eswatini,...,...,...,...,1.97,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 1.97 ,..., 2.17 
231,Ethiopia,11.10,9.10,9.10,11.10,2.71,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.74,...,...,...,...,...,2013, 8.74 ,-21.28, 0.09 
242,Fiji,...,...,...,...,0.03,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 0.03 ,..., 0.04 
246,Finland,250.34,202.29,158.10,138.12,123.67,104.97,110.42,101.59,93.69,91.28,81.00,90.31,91.13,102.45,84.56,69.10,84.04,82.76,67.70,59.54,67.13,60.40,50.95,48.32,43.20,41.83,39.77,35.49,33.39,2018, 33.39 ,-86.66, 6.05 
250,France,"1,320.52","1,420.34","1,289.76","1,128.51","1,063.61","1,007.17",994.62,852.79,888.34,766.36,672.06,613.02,568.33,546.31,529.61,503.57,476.32,454.54,383.32,325.78,309.09,272.54,266.42,247.67,205.50,198.99,183.52,183.44,180.04,2018, 180.04 ,-86.37, 2.77 
266,Gabon,...,...,...,...,1.00,...,...,...,...,...,7.67,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 7.67 ,..., 6.24 
268,Georgia,...,...,...,...,...,20.26,...,...,...,...,0.19,1.27,0.20,0.28,0.34,0.44,1.00,0.40,1.30,1.80,0.28,0.46,0.48,2.54,...,...,...,...,...,2013, 2.54 ,..., 0.63 
276,Germany,"5,442.58","3,974.57","3,246.36","2,910.79","2,424.36","1,750.89","1,483.46","1,233.09",986.38,805.74,650.40,629.22,565.89,538.82,497.39,477.20,475.63,458.79,453.75,395.27,405.12,389.12,371.56,359.90,339.10,335.77,311.17,301.45,288.68,2018, 288.68 ,-94.70, 3.47 
288,Ghana,...,...,...,...,...,...,...,...,...,...,0.50,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.50 ,..., 0.03 
300,Greece,510.95,503.21,518.51,508.89,526.98,520.66,521.30,554.18,578.34,563.97,562.58,573.47,557.78,564.79,565.30,585.08,545.03,529.48,457.94,410.76,231.00,168.25,141.97,130.50,114.48,112.13,107.36,105.55,98.99,2018, 98.99 ,-80.63, 9.41 
320,Guatemala,74.50,...,...,...,74.61,...,...,...,...,...,98.46,...,...,...,...,52.29,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 52.29 ,-29.81, 3.99 
324,Guinea,...,...,...,...,0.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 0.44 ,..., 0.06 
328,Guyana,7.50,7.50,7.50,7.50,7.50,8.10,7.70,8.20,9.00,7.00,7.10,6.80,6.90,6.90,6.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004, 6.90 ,-8.00, 9.25 
332,Haiti,...,...,...,...,8.80,11.96,12.51,14.58,14.18,14.37,13.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 13.58 ,..., 1.60 
340,Honduras,...,...,...,...,...,0.30,...,...,...,...,0.38,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.38 ,..., 0.06 
348,Hungary,829.73,832.66,715.44,719.99,629.73,614.10,611.94,625.52,565.97,558.50,427.24,346.33,272.35,246.00,151.45,42.96,39.20,36.28,35.87,29.76,30.47,34.30,30.54,29.39,26.03,24.31,23.14,27.82,23.04,2018, 23.04 ,-97.22, 2.37 
352,Iceland,24.03,22.33,24.72,24.76,23.35,22.24,24.71,24.73,24.44,32.51,38.77,41.72,44.93,41.45,36.30,42.51,42.36,60.46,77.36,71.80,81.76,84.13,87.06,72.01,65.38,60.54,51.57,49.65,54.71,2018, 54.71 ,127.66, 162.47 
364,Iran (Islamic Republic of),...,...,...,...,29.13,...,...,...,...,...,139.46,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 139.46 ,..., 2.13 
368,Iraq,...,...,...,...,...,...,...,"3,909.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997," 3,909.00 ",..., 182.33 
372,Ireland,182.93,183.15,170.92,161.95,177.09,163.17,150.05,168.93,179.71,161.09,144.22,142.26,106.64,82.63,73.25,73.05,60.78,54.94,45.61,32.76,26.57,25.02,23.49,23.59,16.95,15.08,13.71,13.46,12.17,2018, 12.17 ,-93.35, 2.52 
376,Israel,...,...,...,...,...,...,281.13,...,...,...,270.98,...,...,235.53,219.28,197.99,182.10,178.18,168.30,154.24,145.37,153.18,151.25,126.17,100.31,100.43,86.13,67.43,56.20,2018, 56.20 ,..., 6.71 
380,Italy,"1,783.86","1,672.65","1,574.23","1,471.75","1,389.49","1,322.67","1,213.90","1,138.37","1,004.29",903.67,756.22,704.49,623.29,524.48,487.80,409.62,387.84,345.37,290.10,237.46,218.48,196.24,177.97,146.56,131.58,124.49,116.95,115.42,110.45,2018, 110.45 ,-93.81, 1.82 
388,Jamaica,...,...,...,...,99.70,...,...,...,...,...,...,...,...,...,...,...,18.71,19.05,18.62,17.35,16.65,...,15.99,...,...,...,...,...,...,2012, 15.99 ,..., 5.63 
