"Country_ID","Country","agricultural_area_2013","percent_land_agricultural_2013","arable_land_2013","permanent_crops_2013","permanent_meadows_pastures_2013","nitrogen_consumption","phosphate_consumption","potash_consumption","terrestrial_protected_areas"
226,"Equatorial Guinea","  2 840","10.1","  1 200","   600","  1 040",NA,NA,NA,"19.3"
232,"Eritrea","  75 920","75.2","  6 900","   20","  69 000"," 0.07",0,0,"4.9"
233,"Estonia","  9 660","22.8","  6 320","   60","  3 280"," 34.84",7.42,12.13,"20.2"
231,"Ethiopia","  362 590","36.3","  151 190","  11 400","  200 000"," 4.71",3.31,0,"18.5"
1006,"Falkland Islands (Malvinas)","  11 198","92.0","...","...","  11 198",NA,NA,NA,NA
234,"Faeroe Islands","   30","2.1","   30","...","...",NA,NA,NA,"2.3"
242,"Fiji","  4 250","23.3","  1 650","   850","  1 750"," 8.62",0.35,13.05,"5.4"
246,"Finland","  22 585","7.4","  22 241","   34","   310"," 84.76",32.31,48.82,"15"
250,"France","  287 737","52.5","  183 057","  9 965","  94 715"," 69.67",9.01,10.77,"25.8"
10007,"French Guiana","   286","0.3","   126","   50","   110",NA,NA,NA,NA
258,"French Polynesia","   455","12.4","   25","   230","   200"," 3.69",2.51,3.08,"2"
266,"Gabon","  51 600","20.0","  3 250","  1 700","  46 650"," 0.15",0.07,0.17,"22.4"
270,"Gambia","  6 050","59.8","  4 400","   50","  1 600"," 0.09",0.14,0.13,"4.1"
268,"Georgia","  25 514","36.7","  4 510","  1 600","  19 404"," 13.19",2.77,0.74,"8.3"
276,"Germany","  166 970","47.9","  118 760","  2 000","  46 210"," 100.34",17.01,27.38,"37.8"
288,"Ghana","  157 000","69.0","  47 000","  27 000","  83 000"," 3.94",3.54,3.24,"15.1"
300,"Greece","  81 370","63.1","  25 470","  11 300","  44 600"," 30.54",13.63,5.09,"35.2"
304,"Greenland","  2 359","0.6","   9","...","  2 350",NA,NA,NA,"41.2"
308,"Grenada","   110","32.4","   30","   70","   10",NA,NA,NA,"9.8"
10008,"Guadeloupe","   552","32.7","   209","   33","   310",NA,NA,NA,NA
316,"Guam","   180","33.3","   10","   90","   80",NA,NA,NA,"22.5"
320,"Guatemala","  37 207","34.7","  10 027","  10 330","  16 850"," 44.99",16.78,7.09,"20"
324,"Guinea","  145 000","59.0","  31 000","  7 000","  107 000"," 0.25",0.05,0.05,"35.6"
624,"Guinea-Bissau","  16 300","58.0","  3 000","  2 500","  10 800",NA,NA,NA,"16.7"
328,"Guyana","  16 780","8.5","  4 200","   280","  12 300"," 9.57",1.17,0.41,"8.7"
332,"Haiti","  18 400","66.8","  10 700","  2 800","  4 900",NA,NA,NA,"1.9"
340,"Honduras","  32 350","28.9","  10 200","  4 550","  17 600"," 22.59",2.81,2.45,"23.9"
348,"Hungary","  53 400","59.0","  44 030","  1 780","  7 590"," 63.63",13.42,13.15,"22.6"
352,"Iceland","  18 722","18.7","  1 212","...","  17 510"," 4.60",3.64,2.68,"18.2"
356,"India"," 1 802 800","60.6"," 1 570 000","  130 000","  102 800"," 92.81",32.95,11.41,"6"
360,"Indonesia","  570 000","31.5","  235 000","  225 000","  110 000"," 49.56",13.73,21.05,"12.2"
364,"Iran (Islamic Republic of)","  461 610","28.3","  148 780","  18 060","  294 770"," 5.65",4.55,0.36,"8.6"
368,"Iraq","  92 300","21.3","  50 000","  2 300","  40 000"," 16.25",7.03,0.33,"1.5"
372,"Ireland","  44 770","65.0","  11 130","   10","  33 630"," 70.18",23.29,31.36,"14.4"
833,"Isle of Man","   388","68.1","   219","...","   169",NA,NA,NA,"3.7"
376,"Israel","  5 203","24.0","  2 858","   945","  1 400"," 75.73",14.61,57.27,"19.9"
380,"Italy","  136 300","46.3","  68 270","  22 600","  45 430"," 44.02",12.55,8.07,"21.5"
388,"Jamaica","  4 440","41.0","  1 200","   950","  2 290"," 10.73",6.82,0.95,"15.9"
392,"Japan","  45 370","12.4","  42 370","  3 000","   0"," 96.35",82.68,60.66,"29.4"
400,"Jordan","  10 566","11.9","  2 310","   836","  7 420"," 24.90",10.76,113.42,"1.8"
398,"Kazakhstan"," 2 169 941","80.4","  293 947","  1 315"," 1 874 679"," 0.26",0.12,0.02,"3.3"
404,"Kenya","  276 300","48.5","  58 000","  5 300","  213 000"," 4.72",5.57,0.74,"12.4"
296,"Kiribati","   340","42.0","   20","   320","...",NA,NA,NA,"22.4"
414,"Kuwait","  1 536","8.6","   106","   70","  1 360"," 61.20",3.6,10.96,"17.5"
417,"Kyrgyzstan","  105 858","55.2","  12 760","   748","  92 350"," 2.75",0.56,0,"6.7"
418,"Lao People's Democratic Republic","  23 350","10.1","  14 890","  1 690","  6 770",NA,NA,NA,"16.7"
428,"Latvia","  18 680","30.0","  12 080","   60","  6 540"," 38.42",12.65,13.29,"18.2"
422,"Lebanon","  6 580","64.3","  1 320","  1 260","  4 000"," 24.54",57.36,9.67,"2.6"
426,"Lesotho","  22 521","74.2","  2 481","   40","  20 000",NA,NA,NA,"0.3"
430,"Liberia","  27 000","28.0","  5 000","  2 000","  20 000",NA,NA,NA,"4.1"
434,"Libya","  153 550","8.7","  17 200","  3 350","  133 000"," 0.00",0.48,0,"0.2"
438,"Liechtenstein","   56","35.0","   26","...","   30",NA,NA,NA,"11.9"
440,"Lithuania","  28 914","46.1","  22 905","   325","  5 684"," 26.68",22.49,17.73,"17"
442,"Luxembourg","  1 309","50.5","   625","   15","   669"," 76.43",0,6.09,"40.9"
450,"Madagascar","  414 150","71.2","  35 000","  6 200","  372 950"," 0.20",0.08,0.05,"5.6"
454,"Malawi","  57 900","61.4","  38 000","  1 400","  18 500"," 20.50",4.52,3.35,"22.9"
458,"Malaysia","  78 390","23.9","  9 540","  66 000","  2 850"," 56.63",51.23,102.27,"19.1"
462,"Maldives","   79","26.3","   39","   30","   10"," 33.42",33.16,32.91,"1.2"
