"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
570,"Niue","2009","21.00","...","12.949","2009","5.05","...","3.12","2009","26.08","...","16.08","2009","0.02","...","0.012","2009","0.06","...","34.59","2009"," 0.00 ","..."," 0.06 "
807,"North Macedonia","2009","1655.86","-3.62","0.800","2009","8929.47","-13.20","4.32","2009","11491.30","-13.32","5.55","2009","905.97","-27.62","0.438","2009","34.07","-17.74","16.46","2009"," 205.83 ","6799.91"," 99.48 "
578,"Norway","2018","192.18","-20.35","0.036","2018","43817.66","24.05","8.21","2018","52022.40","1.09","9.75","2018","7.88","-42.88","0.001","2018","163.49","-18.92","30.63","2018"," 16.28 ","-67.26"," 3.05 "
512,"Oman","1994","2607.09","...","1.213","1994","11184.36","...","5.21","1994","20878.67","...","9.72","1994","7,087.22","...","3.299","1994","0.22","...","0.10","1994"," 3.38 ","..."," 1.57 "
585,"Palau","2005","4.56","...","0.231","2005","331.84","...","16.77","2005","346.48","...","17.51","2005","10.08","...","0.509","2005","0.01","...","0.26","2005"," 0.01 ","..."," 0.38 "
591,"Panama","2000","3153.15","...","1.041","2000","5171.99","...","1.71","2000","9707.74","...","3.20","2000","1,382.60","...","0.456","2000","33.69","...","11.12","2000"," 0.13 ","..."," 0.04 "
598,"Papua New Guinea","2000","1177.47","...","0.201","2000","4400.45","...","0.75","2000","10195.68","...","1.74","2000","4,617.76","...","0.790","2000","18.23","...","3.12","2000"," 36.00 ","..."," 6.16 "
600,"Paraguay","2012","19272.33","13.88","3.001","2012","5664.54","149.52","0.88","2012","45230.73","-19.51","7.04","2012","20,292.60","-45.16","3.160","2012","62.17","-21.34","9.68","2012"," 0.27 ","-7.71"," 0.04 "
604,"Peru","2012","22157.00","...","0.751","2012","48210.00","...","1.63","2012","84564.00","...","2.87","2012","14,197.00","...","0.481","1994","138.46","...","5.81","1994"," 123.26 ","..."," 5.17 "
608,"Philippines","2000","31797.57","...","0.408","2000","82702.84","...","1.06","2000","126878.71","...","1.63","2000","12,378.30","...","0.159","1994","316.80","...","4.65","1994"," 458.53 ","..."," 6.73 "
616,"Poland","2018","1950.13","-30.15","0.051","2018","337705.74","-10.32","8.91","2018","412856.37","-13.10","10.89","2018","74.18","-22.69","0.002","2017","803.65","-26.24","21.17","2017"," 582.65 ","-78.03"," 15.35 "
620,"Portugal","2018","365.06","-4.84","0.036","2018","51482.48","14.19","5.02","2018","67280.28","14.89","6.56","2018","10.79","-17.21","0.001","2018","152.38","-39.30","14.86","2018"," 45.17 ","-85.78"," 4.40 "
634,"Qatar","2007","3529.34","...","2.897","2007","57611.96","...","47.28","2007","61592.97","...","50.55","2007","451.67","...","0.371","2007","175.69","...","144.19","2007"," 143.92 ","..."," 118.12 "
410,"Republic of Korea","2016","25993.59","-14.22","0.510","2016","637599.56","152.69","12.51","2016","693942.65","136.87","13.61","2016","14,830.40","62.00","0.291",NA,NA,NA,NA,NA,NA,NA,NA
498,"Republic of Moldova","2013","2693.70","-44.71","0.661","2013","8325.47","-76.44","2.04","2013","12836.34","-70.44","3.15","2013","1,674.28","-47.89","0.411","2013","36.34","-73.55","8.92","2013"," 21.86 ","-92.58"," 5.37 "
642,"Romania","2018","1127.35","-53.04","0.058","2018","76951.22","-54.54","3.94","2018","116115.12","-53.18","5.95","2018","28.92","-45.74","0.001","2018","204.04","-57.89","10.46","2018"," 80.03 ","-89.97"," 4.10 "
643,"Russian Federation","2018","15841.35","-14.60","0.109","2018","1691360.43","-33.02","11.61","2018","2220122.95","-30.35","15.23","2018","288.36","-41.16","0.002","2018","4549.64","-43.17","31.22","2018"," 739.89 ","-8.88"," 5.08 "
646,"Rwanda","2005","1508.12","...","0.171","2005","532.00","...","0.06","2005","6180.08","...","0.70","2005","4,139.96","...","0.468","2005","14.20","...","1.61","2005"," 18.00 ","..."," 2.04 "
659,"Saint Kitts and Nevis","1994","59.48","...","1.429","1994","70.83","...","1.70","1994","164.41","...","3.95","1994","34.10","...","0.819",NA,NA,NA,NA,NA,NA,NA,NA
662,"Saint Lucia","2010","87.78","...","0.504","2010","489.43","...","2.81","2010","647.60","...","3.72","2010","32.67","...","0.188","2010","2.70","...","15.51","2010"," 0.19 ","..."," 1.09 "
670,"Saint Vincent and the Grenadines","2004","66.78","7.52","0.615","2004","217.41","166.73","2.00","2004","381.02","-2.84","3.51","2004","59.83","-75.93","0.551","2004","1.35","-95.32","12.40","2004"," 0.46 ","79.67"," 4.20 "
882,"Samoa","1994","69.38","...","0.411","1994","102.20","...","0.61","1994","560.83","...","3.32","1994","389.25","...","2.308","1994","0.97","...","5.75",NA,NA,NA,NA
674,"San Marino","2010","2.78","...","0.089","2010","262.74","...","8.42","2010","267.27","...","8.56","2010","1.75","...","0.056","2010","1.81","...","57.97",NA,NA,NA,NA
678,"Sao Tome and Principe","2012","21.34","...","0.113","2012","109.75","...","0.58","2012","153.42","...","0.81","2012","22.33","...","0.119","2012","0.75","...","4.00",NA,NA,NA,NA
682,"Saudi Arabia","2012","37360.05","126.05","1.281","2012","498852.80","260.79","17.11","2012","548262.55","231.74","18.81","2012","12,049.70","15.02","0.413",NA,NA,NA,NA,NA,NA,NA,NA
686,"Senegal","2005","6224.40","...","0.561","2005","5078.38","...","0.46","2005","13580.08","...","1.22","2005","1,745.30","...","0.157","2005","34.57","...","3.12","2005"," 39.63 ","..."," 3.57 "
688,"Serbia","1998","8914.71","-1.84","0.920","1998","50604.60","-19.64","5.22","1998","66342.41","-17.90","6.85","1998","6,823.10","-22.03","0.704","1998","164.00","-20.88","16.93","1998"," 388.00 ","-20.98"," 40.06 "
690,"Seychelles","2000","57.60","...","0.711","2000","260.61","...","3.22","2000","330.08","...","4.08","2000","11.86","...","0.146","2000","1.15","...","14.20",NA,NA,NA,NA
702,"Singapore","2012","86.73","...","0.016","2012","46777.40","...","8.71","2012","48333.87","...","9.00","2012","411.67","...","0.077",NA,NA,NA,NA,NA,NA,NA,NA
703,"Slovakia","2018","177.68","-38.77","0.033","2018","36087.84","-41.45","6.62","2018","43348.35","-41.04","7.95","2018","7.04","-51.35","0.001","2018","66.06","-50.89","12.11","2018"," 20.23 ","-86.44"," 3.71 "
705,"Slovenia","2018","77.45","-23.89","0.037","2018","14487.84","-4.01","6.97","2018","17502.14","-5.95","8.42","2018","2.53","-0.12","0.001","2018","33.80","-53.10","16.27","2018"," 4.08 ","-97.96"," 1.97 "
90,"Solomon Islands","2000","201.60","...","0.489","2000","191.24","...","0.46","2010","618.61","...","1.17","2000","29.44","...","0.071","2000","1.08","...","2.61","2000"," 0.27 ","..."," 0.65 "
710,"South Africa","1994","43206.03","0.21","1.065","1994","315957.23","12.47","7.79","1994","379837.16","9.35","9.36","1994","20,673.90","-11.28","0.510",NA,NA,NA,NA,NA,NA,NA,NA
728,"South Sudan","2015","16374.71","...","1.528","2015","1828.72","...","0.17","2015","33638.50","...","3.14","2015","15,429.48","...","1.440","2015","62.04","...","5.79","2015"," 7.23 ","..."," 0.68 "
724,"Spain","2018","1588.89","11.55","0.034","2018","269654.25","16.63","5.78","2018","334255.16","15.51","7.16","2018","61.79","0.66","0.001","2018","772.60","-45.64","16.55","2018"," 212.25 ","-89.97"," 4.55 "
144,"Sri Lanka","2000","6802.53","...","0.362","2000","10922.42","...","0.58","2000","18797.24","...","1.00","2000","1,072.29","...","0.057","2000","83.68","...","4.46","2000"," 105.87 ","..."," 5.64 "
275,"State of Palestine","2011","802.64","...","0.193","2011","1935.59","...","0.47","2011","3261.75","...","0.79","2011","523.53","...","0.126",NA,NA,NA,NA,NA,NA,NA,NA
729,"Sudan","2000","43986.60","...","1.613","2000","6183.00","...","0.23","2000","67839.60","...","2.49","2000","17,670.00","...","0.648","2000","97.00","...","3.56","2000"," 1.00 ","..."," 0.04 "
740,"Suriname","2003","861.00","...","1.765","2003","2469.00","...","5.06","2003","3330.00","...","6.82",NA,NA,NA,NA,"2003","9.00","...","18.44",NA,NA,NA,NA
752,"Sweden","2018","175.22","-40.95","0.018","2018","41766.18","-27.17","4.19","2018","51779.24","-27.26","5.19","2018","15.11","-21.54","0.002","2018","126.86","-54.22","12.72","2018"," 17.38 ","-83.18"," 1.74 "
756,"Switzerland","2018","193.60","-19.92","0.023","2018","36895.48","-16.44","4.33","2018","46332.51","-13.85","5.43","2018","9.66","-13.44","0.001","2018","64.29","-55.40","7.54","2018"," 4.99 ","-86.37"," 0.59 "
762,"Tajikistan","2010","3486.00","-5.68","0.463","2010","1908.00","-89.22","0.25","2010","8184.00","-66.16","1.09","2010","2,790.00","...","0.371","2010","6.00","-91.89","0.80","2010"," 9.00 ","-73.53"," 1.20 "
764,"Thailand","2013","59520.09","...","0.873","2013","242022.61","...","3.55","2013","318660.90","...","4.68","2013","17,118.20","...","0.251","2013","1346.90","...","19.77","2013"," 573.03 ","..."," 8.41 "
626,"Timor-Leste","2010","548.57","...","0.502","2010","260.84","...","0.24","2010","1276.59","...","1.17","2010","467.18","...","0.427","2010","1.82","...","1.66","2010"," 0.40 ","..."," 0.37 "
768,"Togo","2005","1362.90","...","0.243","2005","1899.72","...","0.34","2005","6158.02","...","1.10","2005","2,895.40","...","0.516","2005","19.68","...","3.51","2005"," 8.26 ","..."," 1.47 "
776,"Tonga","2006","36.27","...","0.357","2006","113.14","...","1.11","2006","192.19","...","1.89","2006","42.78","...","0.421","2006","0.79","...","7.76","2006"," 0.16 ","..."," 1.59 "
780,"Trinidad and Tobago","1990","686.55","...","0.562","1990","14987.00","0.00","12.27","1990","16006.18","0.00","13.11","1990","332.63","...","0.272","1990","36.56","0.00","29.94","1990"," 8.75 ","0.00"," 7.17 "
788,"Tunisia","2000","5811.96","...","0.599","2000","22665.18","...","2.33","2000","34237.87","...","3.53","2000","5,760.73","...","0.593","2000","94.87","...","9.77","2000"," 111.29 ","..."," 11.46 "
792,"Turkey","2018","2303.04","35.78","0.028","2018","419194.75","176.68","5.09","2018","520941.59","137.47","6.33","2018","130.62","56.77","0.002","2018","782.80","207.74","9.51","2018"," 2,524.42 ","49.61"," 30.66 "
795,"Turkmenistan","2010","27398.95","...","5.386","2010","37325.17","...","7.34","2010","66367.20","...","13.05","2010","1,643.08","...","0.323","2010","169.59","...","33.34","2010"," 2.72 ","..."," 0.54 "
798,"Tuvalu","2014","2.28","...","0.207","2014","11.16","...","1.02","2014","18.43","...","1.68","2014","5.00","...","0.455","2014","0.10","...","8.78","2014"," 0.00 ","..."," 0.08 "
800,"Uganda","2000","9464.28","...","0.400","2000","1371.00","...","0.06","2000","27559.78","...","1.17","2000","16,724.50","...","0.707","2000","71.77","...","3.03","2000"," 4.10 ","..."," 0.17 "
804,"Ukraine","2018","2700.80","-63.02","0.061","2018","231694.16","-67.17","5.24","2018","339244.28","-63.99","7.67","2018","129.69","-27.67","0.003","2018","590.11","-74.05","13.34","2018"," 787.83 ","-52.32"," 17.81 "
784,"United Arab Emirates","2014","10543.89","...","1.144","2014","188884.90","...","20.50","2014","199878.61","...","21.69","2014","449.82","...","0.049","2005","332.00","...","72.36",NA,NA,NA,NA
826,"United Kingdom of Great Britain and Northern Ireland","2018","2077.45","-60.97","0.031","2018","380849.88","-36.65","5.67","2018","465931.88","-41.60","6.94","2018","64.46","-58.43","0.001","2018","833.30","-72.99","12.41","2018"," 162.86 ","-95.69"," 2.43 "
834,"United Republic of Tanzania","1994","21634.92","4.73","0.751","1994","3225.53","-0.73","0.11","1994","39236.70","0.64","1.36","1994","14,376.25","-4.68","0.499","1994","161.34","2.97","5.60","1994"," 175.74 ","8.40"," 6.10 "
840,"United States of America","2018","25378.29","-18.07","0.078","2018","5424881.50","5.78","16.58","2018","6676649.62","3.72","20.41","2018","1,458.15","-0.02","0.004","2018","8583.10","-60.47","26.24","2018"," 2,480.97 ","-88.15"," 7.58 "
858,"Uruguay","2017","16519.47","13.87","4.807","2017","6530.00","67.55","1.90","2017","32006.48","24.74","9.31","2017","8,823.53","21.64","2.567","2017","57.30","28.71","16.67","2017"," 24.50 ","-44.06"," 7.13 "
860,"Uzbekistan","2012","88442.50","63.21","3.003","2012","105529.24","-6.85","3.58","2012","205269.93","13.84","6.97","2012","11,203.70","-12.75","0.380","2012","275.62","-33.07","9.36","2012"," 201.26 ","-69.23"," 6.83 "
548,"Vanuatu","2000","336.84","...","1.821","2000","69.59","...","0.38","2000","586.23","...","3.17","2000","179.80","...","0.972","2000","0.44","...","2.38","2000"," 0.00 ","..."," 0.01 "
862,"Venezuela (Bolivarian Republic of)","1999","61921.44","...","2.608","1999","114126.00","...","4.81","1999","192192.24","...","8.10","1999","16,144.80","...","0.680","1999","394.79","...","16.63",NA,NA,NA,NA
704,"Viet Nam","2013","84859.32","...","0.935","2013","156969.31","...","1.73","2013","278441.86","...","3.07","2013","34,645.60","...","0.382","2013","50.36","...","0.55","2000"," 9.86 ","..."," 0.12 "
887,"Yemen","2012","7714.83","...","0.315","2012","23311.94","...","0.95","2012","37942.87","...","1.55","2012","6,916.10","...","0.283","2012","104.78","...","4.28","2012"," 4.12 ","..."," 0.17 "
894,"Zambia","2000","6567.04","...","0.630","2000","1685.89","...","0.16","2000","14404.70","...","1.38","2000","5,328.71","...","0.512","2000","1262.23","...","121.18","2000"," 6.16 ","..."," 0.59 "
716,"Zimbabwe","2006","5363.80","...","0.441","2006","10995.15","...","0.90","2006","21184.72","...","1.74","2006","4,825.77","...","0.397","2006","1059.96","...","87.20","2006"," 1.63 ","..."," 0.13 "
694,"Sierra Leone",NA,NA,NA,NA,"2005","87.19","...","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005"," 0.05 ","..."," 0.01 "
586,"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,"2015","394583.00","...","1.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"Syrian Arab Republic",NA,NA,NA,NA,NA,NA,NA,NA,"2005","79215.75","...","4.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
