"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
120,"Cameroon","2000","9828.00","...","0.633","2000","2991.00","...","0.19","2000","28939.00","...","1.87","2000","16,120.00","...","1.039","2000","111.00","...","7.15","2000"," 7.00 ","..."," 0.45 "
124,"Canada","2018","3656.96","1.04","0.099","2018","586504.63","26.92","15.82","2018","729349.27","20.91","19.67","2018","127.33","-2.37","0.003",NA,NA,NA,NA,NA,NA,NA,NA
140,"Central African Republic","2010","4869.75","...","1.110","2010","252.59","...","0.06","2010","5225.25","...","1.19","2010","85.56","...","0.020","2010","0.30","...","0.07",NA,NA,NA,NA
148,"Chad","2003","6686.40","...","0.713","2003","4054.60","...","0.43","2003","25714.00","...","2.74","2003","14,973.00","...","1.597","2003","9.67","...","1.03",NA,NA,NA,NA
152,"Chile","2016","11705.40","8.07","0.643","2016","87444.00","162.68","4.80","2016","108800.02","117.64","5.98","2016","6,913.00","19.25","0.380","2016","297.50","128.67","16.34","2016"," 357.40 ","40.05"," 19.63 "
156,"China","2014","1124970.00","...","0.804","2014","10274851.00","...","7.34","2014","12300200.00","...","8.79","2014","6,09,770.00","...","0.436",NA,NA,NA,NA,NA,NA,NA,NA
170,"Colombia","2004","53873.61","21.37","1.280","2004","63907.28","28.57","1.52","2004","153884.77","29.61","3.66","2004","34,375.90","39.53","0.817","2004","332.01","43.03","7.89","2004"," 142.81 ","0.71"," 3.39 "
174,"Comoros","2000","55.77","...","0.103","2000","82.42","...","0.15","2000","285.05","...","0.53","2000","146.86","...","0.271","2000","0.62","...","1.15","2000"," 0.13 ","..."," 0.25 "
178,"Congo","2000","501.48","...","0.160","2000","1292.15","...","0.41","2000","2065.05","...","0.66","2000","266.60","...","0.085","2000","11.62","...","3.72",NA,NA,NA,NA
184,"Cook Islands","1994","10.59","...","0.555","1994","32.56","...","1.71","1994","80.30","...","4.21","1994","37.14","...","1.947",NA,NA,NA,NA,NA,NA,NA,NA
188,"Costa Rica","2005","3532.64","11.89","0.824","2005","5989.10","117.84","1.40","2005","12114.03","98.87","2.83","2005","2,592.28","1,302.51","0.605","2005","25.18","-17.70","5.87","2005"," 4.85 ","..."," 1.13 "
384,"Côte d’Ivoire","2000","25147.50","...","1.528","2000","60372.31","...","3.67","2000","271197.46","...","16.48","2000","1,85,677.60","...","11.284","2000","276.22","...","16.79","2000"," 4,079.55 ","..."," 247.93 "
191,"Croatia","2018","155.55","-11.27","0.037","2018","17718.65","-24.05","4.26","2018","23792.80","-25.36","5.72","2018","5.66","-42.14","0.001","2018","45.92","-54.44","11.05","2018"," 10.16 ","-93.95"," 2.45 "
192,"Cuba","2002","8365.14","14.30","0.747","2002","24892.95","-26.57","2.22","2002","36296.71","-23.81","3.24","2002","3,038.62","-52.69","0.271","2002","83.82","-40.00","7.48","2002"," 622.51 ","30.37"," 55.58 "
