CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
446,"China, Macao Special Administrative Region",14.81999969,...,...,...,...,21.19000053,21.84000015,21.69000053,22.63999939,22.80999947,24.12999916,24.12999916,24.90999985,26.65999985,27.51000023,27.92000008,29.84000015,30.85000038,31.61000061,31.87000084,31.29000092,31.06999969,32.18999863,33.50999832,35.27000046,36.31999969,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2385.917725,2436.974854,2292.235596,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,220.9933472,222.9992981,222.116684,225.1995544,226.7975464,204.2366791,209.0360413,216.3300323,238.9624939,241.4337311,,,,,,,,,,,,,,,,,,,"10,11","10,11","10,11","10,11","10,11",11,11,11,12,12
191,Croatia,...,...,...,...,...,176,184,183,190,175,175,192,179,188,182.6999969,181.3999939,...,...,183.5,183.5,189.3000031,182.6999969,184.3999939,194.1000061,172.1999969,179.5899963,...,...,,,,,,,,,,,,,,,,,,,,,,13,13,13,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,371,326,343,290,320,365,424,420,446,473,561,499,447,422,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14
196,Cyprus,...,...,...,...,...,45.70000076,...,...,...,...,47.90000153,58,63,65.80000305,68.90000153,70.69999695,71.30000305,71.30000305,59.59999847,67.69999695,79.30000305,78.19999695,76.5,78.16000366,77.69000244,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,546.2000122,...,...,...,...,391.2999878,375.7000122,365,357.7999878,355.1000061,351.1000061,339.2999878,342.8999939,344.7000122,349.5,338.6000061,343.8999939,349.3999939,335.2200012,332.1000061,323.2999878,325.3999939,323.6000061,317.6000061,318.2999878,322,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,341.6000061,330,320,309.8999939,300.7000122,...,...,...,...,...,...,251,239.5,237.6999969,242.1999969,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,...,...,...,...,...,911,...,...,...,...,...,...,1256.199951,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,1972,...,...,...,...,2264,2606,...,...,...,2870,...,...,3240,3240,3240,5954,4070,5550,5570,...,...,...,...,...,...,...,...,16,,,,,16,16,,,,,,,,,,,,,,,,,,,,,
231,Ethiopia,28.37999916,...,...,...,...,36,33.83000183,35.24000168,38.63999939,41.16999817,41.15000153,50.75,51.11999893,52.70999908,51.54999924,52.29999924,53.61999893,54.75,...,...,...,...,...,...,...,...,...,...,17,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44800.09766,40442.40625,46732.57422,46151.90234,50811.92188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,424,418,419,419,419,412,419,416,404,404,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,2450,2411,2376,2384,...,...,...,...,...,...,...,...,...,...,...,...,...,3518,3517,3478,3499,3440,3388,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,3.200000048,...,...,9.5,...,...,10.69999981,...,...,...,...,...,...,...,15.00539494,14.36972046,14.67796898,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,243,208,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
