CountryID,Country,1990,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,...,...,68.40000153,...,...,...,...,...,...,74.59999847,...,...,...,...,...,...,...,...,74.90000153,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
324,Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,53.70000076,50,48,...,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,...,...,90,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,,,,
352,Iceland,...,...,...,...,...,...,...,95,95,95,95,95,95,...,...,...,...,95,95,95,95,95,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
364,Iran (Islamic Republic of),...,...,...,...,...,...,...,...,...,...,...,91.04000092,91.34999847,91.90000153,92.02999878,92.15000153,92.20999908,92.33000183,92.58000183,92.83000183,93.72000122,93.25,94.54000092,94.66999817,95.22000122,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,73.40000153,...,...,...,...,78.69999695,84,85,87,88,86.80000305,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,...,...,...,...,...,...,...,...,90,...,...,83,...,85,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,...,...,...,...,...,...,...,...,...,...,70,...,...,...,...,...,80,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97.69999695,...,...,96.69999695,96.69999695,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,76.40000153,77.40000153,78.69999695,79.30000305,81.80000305,82,82.5,87.69999695,87.69999695,89.59999847,90.40000153,90.90000153,91.40000153,92,,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,100,...,100,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,...,...,...,...,...,...,...,...,75.59999847,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,76,76,76,...,...,...,...,...,74,75,76,78,79,80,81,82,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,10,,10,,,
458,Malaysia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,90.5338974,91.84999847,92.9063797,94.19999695,94.40000153,94.69999695,95.09999847,95.30000305,95.5,95.30000305,95.5,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,...,...,...,...,...,...,...,...,...,...,...,63.79999924,66.09999847,67.40000153,63.40000153,71.69999695,73.09999847,64.5,64.40000153,63.5,63.59999847,63.79999924,65.30000305,66.90000153,68,,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,100,...,100,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,11,,,,,
480,Mauritius,95.19999695,...,...,...,...,...,...,98.69999695,99,99,99,99,99,99,99.5,99.5,99.5,99.5,99.69999695,99.69999695,99.69999695,99.69999695,99.69999695,99.69999695,99.69999695,,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,100,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,...,...,62.70000076,65.19999695,...,67.30000305,57.90000153,70.90000153,71.90000153,73.40000153,76.30000305,76.5,77.5,79.5,80.19999695,81.5,83,...,...,...,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,,,
528,Netherlands,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,,,,,,,,,,,,,,,,,,,,,,,,,
540,New Caledonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,90.69999695,...,...,...,...,95,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
566,Nigeria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,56,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,90,...,90,...,...,...,93,93,93,93,94,94,94,94,94,94,94,94,94,95,95,95,...,...,...,,,,,,,,,,,,,,,,,,10,10,10,10,10,,,
