CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
208,Denmark,18360,13548,11582,6848,7949,10108,5552,10480,24117,22588,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,34465.40625,...,...,...,...,86777.66406,89866.36719,145385.4063,56448.10156,157154.5781,96859.91406,97546.53125,122325.9063,84259.00781,53009.47656,52853.125,97432.80469,98682.86719,170909.2031,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,1300,1300,1300,1300,1300,1300,1300,...,...,...,...,...,1300,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,13706.20117,...,...,...,...,18821.74219,19463.87305,9795.635742,22766.82031,16296.74707,13259.94727,9421.868164,12560.5127,13767.87891,11350.05273,21507.08398,17177.79883,13739.10352,17825.33203,12578.02637,24061.08789,22208.12305,11231.125,10610.45117,9890.191406,8237.748047,6223.167969,14886.08301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,17896,...,...,...,...,13249,7874,10898,13468,12520,...,...,...,...,...,28986,7635,31431,...,...,...,30371,20385,9357,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
246,Finland,88000,137000,149000,80000,98000,105000,100000,87000,130000,95600,117000,87000,78000,84000,135000,116000,103417,96000,147805,88022,103123,123552,153575,106797,97130,145325,123213,123928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,154461,139983,140929.0938,162825,291991,212792,195501.5938,127723.2969,181597.5938,239361.5,223690,212667,194904,84880,147466,76355,509886,509244,203835,159005,201217,126246,199737,265305,235527,125486,217263,152986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,-4698,...,...,...,...,-4373,...,...,...,-79,-3549,-4274,-7130,-3021,-2922,-759,-6741,-6795.553223,-1798.489502,4807.354004,...,...,...,...,...,...,...,...,5,,,,,5,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,
268,Georgia,47375,...,...,...,...,34664,35647,40166,32797,40310,38712,40110,52450,45970,47269,49192,42793,31586,42912,49557,45790.45313,46628.30859,44322.46094,46893.73438,42367.00391,42453.25781,51360.30078,46254.29688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,104000,72000,115000,133000,142000,139000,72000,84000,143000,128000,122000,156000,178000,44000,109000,88000,77000,135000,97000,103000,118000,75000,94000,101000,67000,72000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
