CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
233,Estonia,...,...,100,80,100,...,5335,8106,11640,10739,...,...,...,...,...,...,...,...,...,...,...,...,9561,10601,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,2500,3800,3800,3600,3700,4000,3400,3600,4500,3300,4000,3500,3700,4200,7200,4800,3509,3000,5577,3990,3829,3484,5754,3835,4153,4591,4345,4811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12850,11917,11760,9452,13285,15042,12408,12303,12292,9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,5110,...,...,...,...,6255,...,...,...,7000,7000,7000,5110,6043,5709,7285,5730.700195,5927.064941,7159.239746,7388.190918,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,7679,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,58000,54000,62000,65000,70000,83000,60000,64000,62000,86000,82000,89000,92000,58000,65000,63000,73000,71000,70000,69000,71000,55000,75000,80000,64000,60000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,91386,79216,99241,93298,89226,118332,110000,110400,116300,129300,121973,115299,126811,83461,108201,121728,127956,102800,105525,119526,138599,90472,95644,117873,102590,90860,104906,95132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,70300,78810,37410,36800,30720,53600,73100,64960,54650,67550,56420,32700,32110,50120,47570,49110,56020,37250,35340,54750,40690,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,3848,...,...,...,...,3174,...,...,...,...,4173,2458,4565,2475,2983,3016,3296,2883,3982,3848,2981,4202,3561,3360,4240,4149,3364,3364,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
380,Italy,8000,...,...,...,...,...,...,...,...,...,...,46881,23217,15802,26396,17476,19763,24076,22858,32611,30196,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,0,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,700.5999756,737.4000244,734.7000122,779.5,...,190.0700073,180.5200043,195,190.7772064,214.5800018,195.75,169.8999939,156.1999969,188,142,109.4000015,124.9000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,60000,60200,61900,48100,52600,39400,41800,66400,44500,43500,46100,46300,39700,54400,59100,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
417,Kyrgyzstan,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,27106,19740,14760,17350,21250,19072,12036,17840,27010,19185,16742,16808,15239,11809,18267,18150,15476,16167,17165,19984,21156,17542,21259,17717,10106,9688,13847,23381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,9833,8453,7196,8754,11734,8481,8254,7091,10046,9972,7383,6813,7695,6822,9030,9210,8925,8363,8249,8734,11517,9193,8013,10345,7727,6630,9016,11960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,798,608,811,803,694,768,...,...,...,694,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Maldives,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,39680,...,...,...,...,...,...,...,...,...,...,...,...,...,31859,50671,38975,64301,69102,70759,89386,51036,82428,62846,56212,72823,77163,55074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,0,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,0,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,67420,64100,73514,74152,91402,101630,63000,69150,83700,101550,92530,104670,107700,65915,67995,67585,74090,85317,75738,67962,83340,65055,80800,91755,70644,69435,82960,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,432,...,...,...,...,718,...,...,...,937,670,351,763,811,853,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,12,,,,,12,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,12665,13055,13094,14632,14690,16248,11997,10429,9125,10550,14998,10788,12881,12315,11383,12379,13027,13769,10139,10703,13123,...,...,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,
591,Panama,0,...,...,...,...,...,...,...,...,0,4824.811035,5167.773926,4673.645508,5214.274414,5795.178711,4711.289551,4631.757813,4222.200195,5510.154297,5527.530762,6081.397461,4720.831055,3300.59668,3229.685059,4239.501465,3799.929688,2688.730225,3612.227295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,5030,6337.200195,6049.799805,6308.5,6438,7227,7836.5,8497.700195,9692.799805,9882.900391,9102,8959,8118,5863,5954,7901,7797,7254,7721,8432,13237,9688,5978,9285,6585,4761,5073,6788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,9436,...,...,...,...,9161,...,...,22419,17477,6519,7514,17945,12751,12621,37829,21350,...,...,...,...,12016,21652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,...,...,...,...,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,,,,,,
498,Republic of Moldova,6950,...,...,...,...,10040,12480,12570,16800,14220,10930,13920,13470,8730,9740,12960,15400,11050,16270,11540,18110,10190,8260,11120,10820,8790,7780,11540,14,,,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
642,Romania,932,3316,2133,2101,1561,2492,3198,3332,4483,3670,2269,3282,2878,1654,250,460,505,255,559,249,593,222,142,230,222,168,186,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,240300,184000,205500,245500,185900,158600,175500,153200,193500,191000,191900,183200,190000,164800,218600,212300,160400,175100,283800,198300,164100,210100,213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Saint Kitts and Nevis,0,...,...,...,...,0,0,0,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Serbia,106982,...,...,...,...,173644,185833,163343,167273,183351,154973,163178,171147,113659,163340,193200.3438,202577.1875,149615.8125,153816,169130,240316,126376,140634,195547,190588.5938,154540.2188,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,55773,58000,63227,62027,61022,74711,65465,66492,64251,77188,77999,76830,85382,52626,61182,69806,63519,71711,69005,71767,71105,55559,68875,78392,58209,55052,63398,61099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,11350,14359,13515.7002,12629.5,12001.7002,11619,14674.2998,11611.2002,12249.7998,13746.90039,14173,11456,11419,9197,13118,12843,13009,11577,12924,17907,15047,11980,15989,17122,21120,13122,14967,12860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,...,...,...,5260,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,14243,...,...,...,...,15656,...,...,...,...,18929,15213,12352,12315,14767,16383,13123,15668,15296,13746,13450,17061,16804,13127,14919,17619,14926,15072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Switzerland,10010,9532,10218.2002,12470.2998,14438.2002,16965,8713.700195,11312.09961,8608.700195,15446.2998,14064,15490,11849,12115,9972,10562,12403,12158,11089,9807,10344,8823,10513,15874,11729,11000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,...,...,...,...,...,...,...,...,...,...,6062,6972,7772,11270,8147,9764,10331,9734,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Togo,3000,...,...,...,...,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6900,6900,6900,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,6790,2526,2960.300049,2834.5,3100.300049,5468,2599.800049,2174.100098,3218.600098,3192.100098,7747,5126,8048,4052,6016,5898,5753,5838,8830,7231,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,United Republic of Tanzania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivarian Republic of),444732,...,...,...,...,444732,...,...,...,...,444732,444732,444732,444732,444732,444732,444732,444732,444732,444732,...,...,...,...,...,...,...,...,15,,,,,15,,,,,15,15,15,15,15,15,15,15,15,15,,,,,,,,
887,Yemen,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,10910.01758,...,...,...,...,10135.7998,13903.22754,16695.60547,21280.85742,19398.01367,14912.4375,21647.74023,16634.25586,20314.87305,28830.08594,11822.84375,22787.31641,29123.08789,28532.08594,31090.45117,31834.21094,34125.25781,22040.60938,23382.27539,23348.42383,13164.49023,19896.12695,20779.49609,16,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
