CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
108,Burundi,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.30947113,21.81116295,22.268507,22.36557388,24.6539135,27.08336067,27.09512329,28.58416367,31.47306633,25.17000008,26.53000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,81.30000305,...,...,46.56169891,85.43759918,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,...,...,...,...,...,5201,...,...,...,...,...,...,...,...,...,...,...,...,...,5317,...,5124,...,5033,...,5021,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Cayman Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.620896816,2.917477131,3.223419666,3.349313498,3.410927296,3.650801897,3.526730299,3.6095016,3.618453979,3.630740643,3.630833149,3.868712187,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,...,...,...,...,...,851,...,...,...,...,919.2000122,915.4000244,919.0999756,920,932.1199951,934.6900024,972.4899902,971.2199707,979.9505005,987.9299927,1009.655884,1064.390015,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",873,...,...,...,...,919,928,913,916,911,924,940,949,974,955,968,963,951,956,952,936,923,935,933,959,973,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",34.59999847,...,...,...,...,46.18999863,46.45000076,46.63000107,48.09000015,47.99000168,48.84999847,48.36999893,49.08000183,51.63000107,53.38999939,55.86000061,60.36000061,65.83000183,67.45999908,68.12000275,67.15000153,70.55000305,75.27999878,78.44999695,83.48999786,84.94000244,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3138.511719,3200.467285,3128.585205,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,275.3124695,277.8114929,276.7119446,280.5525513,282.5433655,260.8681641,266.2124023,273.1662598,286.5297852,289.3631897,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,
191,Croatia,...,...,...,...,...,492,525,531,527,523,512,506,505,532,311.6000061,305.7999878,...,...,289,271.2999878,...,...,...,...,...,...,...,...,,,,,,,,,,,,,16,16,16,,,,17,17,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,494,433,572,579,639,625,727,603,870,894,1001,955,948,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,...,101.8000031,119.5,129.5,140.3000031,73.30000305,73.69999695,73.90000153,62.5,70.30000305,82.09999847,80.59999847,78.90000153,77.5,79.70999908,81.90000153,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,936.5,...,...,...,...,655.9000244,631.4000244,604,579.9000244,564.2000122,554.0999756,535.5999756,545.2999878,547.2000122,543.5,531.5999756,527.2999878,531.4000244,520.4000244,512,500,492.2000122,490.7999878,478.2999878,471.6000061,481.2999878,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,571,551.2000122,539.5999756,512.5,493.2000122,470,509,464.7000122,440.1000061,422,419.8999939,410.7999878,379.7000122,370.5,371,420.5,404.1000061,409.7000122,406.7000122,385.6000061,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,3500,...,...,3324,3524,3724,5954,5220,6900,6920,...,...,...,...,...,6129,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,71.5,66.09999847,71.09999847,69.69999695,66.09999847,...,...,...,...,...,46.79999924,47.79999924,49.79999924,51.59999847,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,69798.85156,63391.55859,72809.85156,70291.44531,75069.05469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,424,414,420,419,419,412,419,416,404,404,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,5129.700195,...,...,5684.799805,...,...,...,...,...,...,4089,...,3971,3871,3855,3622,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,3.200000048,...,...,9.5,...,...,10.69999981,...,...,...,...,...,...,...,15.00539494,14.36972046,14.67796898,...,...,...,,,,,,,,,,,,,,,,,,,,,,,18,18,18,,,
268,Georgia,491,...,...,...,...,333,392.3999939,411.8999939,378,348.3999939,217.8000031,305.2999878,322,306,296,308,212,207,399,408,455,460,605,475,471,279,247,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,5748,...,...,...,5094,...,...,4859,...,...,4773.899902,...,...,4728.700195,...,...,...,...,...,4112.63623,...,...,4233.306152,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
