CountryID,Country and area,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,"Kyoto 
Protocol",Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,"World 
Heritage Convention"
250,France,1991,1978,1994,1990,2002,1988,2016,1986,2004,2004,1996,1997,1994,1975
266,Gabon,2008,1989,1997,2008,2006,1994,2016,1987,2003,2007,1998,1996,1998,1986
270,Gambia,1997,1977,1994,2001,2001,1990,2016,1997,2002,2006,1984,1996,1994,1987
268,Georgia,1999,1996,1994,2000,1999,1996,2017,1997,2007,2006,1996,1999,1994,1992
276,Germany,1995,1976,1994,1984,2002,1988,2016,1976,2001,2002,1994,1996,1993,1976
288,Ghana,2003,1975,1994,1988,2003,1989,2016,1988,2003,2003,1983,1996,1995,1975
300,Greece,1994,1992,1994,1999,2002,1988,2016,1975,2003,2006,1995,1997,1994,1981
308,Grenada,...,1999,1994,...,2002,1993,2016,2012,...,...,1991,1997,1994,1998
320,Guatemala,1995,1979,1995,...,1999,1989,2017,1990,2010,2008,1997,1998,1995,1979
324,Guinea,1995,1981,1993,1993,2000,1992,2016,1993,2000,2007,1985,1997,1993,1979
624,Guinea-Bissau,2005,1990,1996,1995,2005,2002,2018,1990,2008,2008,...,1995,1995,2006
328,Guyana,2001,1977,1994,...,2003,1993,2016,...,2007,2007,1993,1997,1994,1977
332,Haiti,…,...,1996,...,2005,2000,2017,...,...,...,1996,1996,1996,1980
340,Honduras,1995,1985,1995,2007,2000,1993,2016,1993,2011,2005,1993,1997,1995,1979
348,Hungary,1990,1985,1994,1983,2002,1989,2016,1979,2000,2008,2002,1999,1994,1985
352,Iceland,1995,2000,1994,...,2002,1989,2016,1978,...,2002,1985,1997,1993,1995
356,India,1992,1976,1994,1983,2002,1992,2016,1982,2005,2006,1995,1996,1993,1977
360,Indonesia,1993,1978,1994,...,2004,1992,2016,1992,2013,2009,1986,1998,1994,1989
364,Iran (Islamic Republic of),1993,1976,1996,2008,2005,1990,...,1975,2004,2006,...,1997,1996,1975
368,Iraq,2011,2014,2009,2016,2009,2008,...,2008,2017,2016,1985,2010,2009,1974
372,Ireland,1994,2002,1996,1983,2002,1988,2016,1985,2005,2010,1996,1997,1994,1991
376,Israel,1994,1979,1995,1983,2004,1992,2016,1997,2011,...,...,1996,1996,1999
380,Italy,1994,1979,1994,1983,2002,1988,2016,1977,2002,...,1995,1997,1994,1978
388,Jamaica,2003,1997,1995,...,1999,1993,2017,1998,2002,2007,1983,1997,1995,1983
392,Japan,1993,1980,1993,...,2002,1988,2016,1980,2004,2002,1996,1998,1993,1992
400,Jordan,1989,1978,1994,2001,2003,1989,2016,1977,2002,2004,1995,1996,1993,1975
398,Kazakhstan,2003,2000,1994,2006,2009,1998,2016,2007,2007,2007,...,1997,1995,1994
404,Kenya,2000,1978,1994,1999,2005,1988,2016,1990,2005,2004,1989,1997,1994,1991
296,Kiribati,2000,...,1994,...,2000,1993,2016,2013,...,2004,2003,1998,1995,2000
414,Kuwait,1993,2002,2002,...,2005,1992,2018,2015,2006,2006,1986,1997,1994,2002
417,Kyrgyzstan,1996,2007,1996,2014,2003,2000,...,2003,2000,2006,...,1997,2000,1995
418,Lao People's Democratic Republic,2010,2004,1996,...,2003,1998,2016,2010,2010,2006,1998,1996,1995,1987
428,Latvia,1992,1997,1996,1999,2002,1995,2017,1995,2003,2004,2004,2002,1995,1995
422,Lebanon,1994,2013,1995,2019,2006,1993,...,1999,2006,2003,1995,1996,1994,1983
426,Lesotho,2000,2003,1995,...,2000,1994,2017,2004,2008,2002,2007,1995,1995,2003
430,Liberia,2004,1981,2001,2004,2002,1996,2018,2003,2004,2002,2008,1998,2002,2002
434,Libya,2001,2003,2001,2002,2006,1990,...,2000,2002,2005,...,1996,1999,1978
438,Liechtenstein,1992,1979,1998,1997,2004,1989,2017,1991,2004,2004,...,1999,1994,...
